Provincia,Distrito,Posto,Localidade,Povoado,Cod__Escola,NomeEsco_1,ZIP,Agua,TipoFonte,QualiAgua,Energia,TipoEnergi,Latrina,TotalLatri,Estado_de_Conservação3,Urinois,TotalUrino,UrinoisFun,Estado_de_Conservação4,CasaBanho,TotalCB,CBFunci,Longitude,Latitude
Gaza,Chokwe,Lionde,Conhane,Conhane,20493,Escola Secundaria 12 de Outubro de Conhane,Conhane,Sim,Rede pública,Potável,Sim,Rede Pública,Não,0,Nenhum,Não,0,Não,Nenhum,Não,0,Não,33.097361,-24.666306
Gaza,Guijá,Nalazi,Nalazi sede,Nalazi,21047,Escola Secundaria 7 de Setembro Nalazi,Nalazi,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,1,Razoável,Não,0,Não,Nenhum,Não,0,Não,33.32908333,-24.05163889
Gaza,Xai-Xai distrito,Chongoene,Mauciene,Mauciene,21029,Escola Secundária Aurélio Manave,Mauciene,Sim,Rede pública,Potável,Sim,Rede Pública,Sim,2,Bom,Não,0,Não,Nenhum,Sim,2,Sim,33.855056,-25.041056
Gaza,Bilene - Macia,Macia sede,Praia do Bilene,Bairro Cimento,20086,Escola Secundária da Macia,Secundária A,Sim,Rede pública,Potável,Sim,Rede Pública,Não,0,Nenhum,Não,0,Não,Nenhum,Sim,3,Sim,33.1023,-25.02775
Gaza,Xai-Xai distrito,Chongoene,Nhancutse,Bungane,20982,Escola Secundária de Bungane,Nhancutse 2,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,4,Bom,Sim,4,Sim,Razoável,Não,0,Não,33.697,-24.825194
Gaza,Maunjacaze - Dingane,Chidenguele,Chidenguele sede,Chidenguele,21037,Escola Secundaria de Chidenguele,Esc. Sec. Chidenguele,Não,Nenhuma Fonte,Nenhuma,Sim,Rede Pública,Sim,8,Mau,Sim,7,Sim,Bom,Sim,6,Sim,34.188,-24.918417
Gaza,Chibuto,Chibuto,Cidade de Chibuto,Chimundo,20259,Escola Secundária de Chimundo,Samora Mauchel 2,Sim,Furo com bomba,Potável,Não,Nenhum,Sim,3,Razoável,Sim,3,Sim,Razoável,Não,0,Não,33.561472,-24.709194
Gaza,Guijá,Mubanguene,Munbaguene sede,Chinhacanine,21003,Escola Secundária de Chinhacanine,Chinhacanine,Não,Nenhuma Fonte,Nenhuma,Sim,Rede Pública,Sim,3,Bom,Sim,3,Sim,Razoável,Não,0,Não,32.895183,-24.396917
Gaza,Xai-Xai distrito,Chicumbane,Chicunbane sede,Chipenhe,20981,Escola Secundaria de Chipenhe,Nuvunguene,Sim,Rede pública,Potável,Sim,Rede Pública,Sim,2,Bom,Sim,2,Sim,Bom,Não,0,Não,33.445333,-24.941417
Gaza,Maunjacaze - Dingane,Chidenguele,Dengoine,Dengoine,21056,Escola Secundária de Dengoine,Chidenguele,Sim,Rede pública,Potável,Sim,Rede Pública,Sim,2,Bom,Sim,2,Sim,Bom,Não,0,Não,34.40555556,-24.85344444
Gaza,Guijá,Chivonguene,Chibabel,Javanhane,20959,Escola Secundária de Javanhane,Muxolo,Sim,Furo com bomba,Potável,Sim,Rede Pública,Sim,5,Mau,Sim,5,Sim,Razoável,Não,0,Não,33.191283,-24.571633
Gaza,Chokwe,Maucarretane,Maucarretane sede,Maunjangue,20502,Escola Secundária de Manjangue,Maucaretane,Sim,Rede pública,Potável,Sim,Rede Pública,Sim,3,Bom,Não,0,Não,Nenhum,Não,0,Não,32.842639,-24.433139
Gaza,Bilene - Macia,Mauzivila,Mauzivila sede,Mauzivila-sede,21033,Escola Secundária de Mazivila,Secundária B,Sim,Furo com bomba,Potável,Sim,Rede Pública,Não,0,Nenhum,Não,0,Não,Nenhum,Sim,4,Sim,33.1215,-24.891806
Gaza,Bilene - Macia,Messano,Messano sede,A Luta Continua,20087,Escola Secundaria de Messano,Secundária A,Sim,Rede pública,Potável,Sim,Rede Pública,Sim,3,Bom,Não,0,Não,Nenhum,Não,0,Não,32.98775,-25.00845
Gaza,Chibuto,Chaimite,Chaimite sede,Mohambe,20200,Escola Secundaria de Mohambe,Mohambe,Não,Nenhuma Fonte,Nenhuma,Sim,Rede Pública,Sim,3,Razoável,Sim,3,Sim,Razoável,Não,0,Não,33.291194,-24.634306
Gaza,Chokwe,Cidade do Chokwé,Cidade do Chókwé,Nkavelane,20974,Escola Secundaria de Ngungunhane,Cidade B,Sim,Rede pública,Potável,Sim,Painel Solar,Não,0,Nenhum,Não,0,Não,Nenhum,Não,0,Não,32.985361,-24.549861
Gaza,Cidade de Xai-Xai,Cidade de Xai-Xai,Tavene,Patrice Lumumba,20769,Escola Secundária de Tavene,Unidade 1,Sim,Rede pública,Potável,Sim,Rede Pública,Sim,2,Mau,Não,0,Não,Nenhum,Sim,4,Sim,33.660889,-25.068583
Gaza,Xai-Xai distrito,Chicumbane,Chicumbane,3 de Fevereiro ,21057,Escola Secundária Ed. Mondlane de 3 de Fevereiro,Chicumbane,Sim,Furo com bomba,Potável,Sim,Rede Pública,Sim,4,Bom,Sim,2,Sim,Bom,Não,0,Não,33.50841667,-24.97594444
Gaza,Xai-Xai distrito,Chicumbane,Muzingane,Julius Nyerere,20955,Escola Secundária Julius Nyerere,Muzingane,Sim,Rede pública,Potável,Sim,Rede Pública,Sim,4,Razoável,Sim,4,Sim,Razoável,Sim,4,Sim,33.50775,-24.875694
Gaza,Cidade de Xai-Xai,Inhamissa,Inhamissa,Maurien Gouabí,21045,Escola Secundária Marien Ngouabí,Inhamissa,Sim,Rede pública,Potável,Sim,Rede Pública,Sim,6,Bom,Não,0,Não,Nenhum,Não,0,Não,33.6957,-25.04455833
Gaza,Bilene - Macia,Praia do Bilene,Praia do Bilene,Bairro Cimento,20095,Escola Secundária Maristas do Bilene,Secundaria B,Sim,Rede pública,Potável,Sim,Rede Pública,Não,0,Nenhum,Não,0,Não,Nenhum,Sim,4,Sim,33.24425,-25.286017
